Postcode;Plaatsnaam;Deelgemeente;Hoofdgemeente;Provincie
2970;'S Gravenwezel;Ja;SCHILDE;Antwerpen
3700;'S Herenelderen;Ja;TONGEREN;Limburg
7510;3 Suisses;;3 Suisses;
9420;Aaigem;Ja;ERPE-MERE;Oost-Vlaanderen 
8511;Aalbeke;Ja;KORTRIJK;West-Vlaanderen
3800;Aalst;Ja;SINT-TRUIDEN;Limburg
9300;AALST;Neen;AALST;Oost-Vlaanderen 
9880;AALTER;Neen;AALTER;Oost-Vlaanderen 
3200;AARSCHOT;Neen;AARSCHOT;Vlaams-Brabant
8700;Aarsele;Ja;TIELT;West-Vlaanderen
8211;Aartrijke;Ja;ZEDELGEM;West-Vlaanderen
2630;AARTSELAAR;Neen;AARTSELAAR;Antwerpen
4557;Abée;Ja;TINLOT;Luik
4280;Abolens;Ja;HANNUT;Luik
3930;Achel;Ja;HAMONT-ACHEL;Limburg
5590;Achêne;Ja;CINEY;Namen
5362;Achet;Ja;HAMOIS;Namen
4219;Acosse;Ja;WASSEIGES;Luik
6280;Acoz;Ja;GERPINNES;Henegouwen
1105;ACTISOC;;ACTISOC;
9991;Adegem;Ja;MALDEGEM;Oost-Vlaanderen 
8660;Adinkerke;Ja;DE PANNE;West-Vlaanderen
1790;AFFLIGEM;Neen;AFFLIGEM;Vlaams-Brabant
9051;Afsnee;Ja;GENT;Oost-Vlaanderen 
5544;Agimont;Ja;HASTIÈRE;Namen
4317;Aineffe;Ja;FAIMES;Luik
5310;Aische-En-Refail;Ja;EGHEZÉE;Namen
6250;Aiseau;Ja;AISEAU-PRESLES;Henegouwen
6250;AISEAU-PRESLES;Neen;AISEAU-PRESLES;Henegouwen
5070;Aisemont;Ja;FOSSES-LA-VILLE;Namen
3570;ALKEN;Neen;ALKEN;Limburg
5550;Alle;Ja;VRESSE-SUR-SEMOIS;Namen
4432;Alleur;Ja;ANS;Luik
1652;Alsemberg;Ja;BEERSEL;Vlaams-Brabant
8690;ALVERINGEM;Neen;ALVERINGEM;West-Vlaanderen
4540;AMAY;Neen;AMAY;Luik
6680;Amberloup;Ja;SAINTE-ODE;Luxemburg
6953;Ambly;Ja;NASSOGNE;Luxemburg
4219;Ambresin;Ja;WASSEIGES;Luik
4770;AMEL;Neen;AMEL;Luik
6997;Amonines;Ja;EREZÉE;Luxemburg
7750;Amougies;Ja;MONT-DE-L'ENCLUS;Henegouwen
4540;Ampsin;Ja;AMAY;Luik
5300;ANDENNE;Neen;ANDENNE;Namen
1070;ANDERLECHT;Neen;ANDERLECHT;Brussel (19 gemeenten)
6150;ANDERLUES;Neen;ANDERLUES;Henegouwen
4821;Andrimont;Ja;DISON;Luik
4031;Angleur;Ja;LIÈGE;Luik
7387;Angre;Ja;HONNELLES;Henegouwen
7387;Angreau;Ja;HONNELLES;Henegouwen
5537;ANHÉE;Neen;ANHÉE;Namen
6721;Anlier;Ja;HABAY;Luxemburg
6890;Anloy;Ja;LIBIN;Luxemburg
5537;Annevoie-Rouillon;Ja;ANHÉE;Namen
4430;ANS;Neen;ANS;Luik
5500;Anseremme;Ja;DINANT;Namen
7750;Anseroeul;Ja;MONT-DE-L'ENCLUS;Henegouwen
5520;Anthée;Ja;ONHAYE;Namen
4520;Antheit;Ja;WANZE;Luik
4160;ANTHISNES;Neen;ANTHISNES;Luik
7640;ANTOING;Neen;ANTOING;Henegouwen
2000;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2018;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2020;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2030;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2040;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2050;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2060;ANTWERPEN;Neen;ANTWERPEN;Antwerpen
2099;Antwerpen X;;Antwerpen X;
7910;Anvaing;Ja;FRASNES-LEZ-ANVAING;Henegouwen
8570;ANZEGEM;Neen;ANZEGEM;West-Vlaanderen
9200;Appels;Ja;DENDERMONDE;Oost-Vlaanderen 
9400;Appelterre-Eichem;Ja;NINOVE;Oost-Vlaanderen 
5170;Arbre;Ja;PROFONDEVILLE;Namen
7811;Arbre;Ja;ATH;Henegouwen
4990;Arbrefontaine;Ja;LIERNEUX;Luik
7910;Arc-Ainières;Ja;FRASNES-LEZ-ANVAING;Henegouwen
7910;Arc-Wattripont;Ja;FRASNES-LEZ-ANVAING;Henegouwen
1390;Archennes;Ja;GREZ-DOICEAU;Waals-Brabant
8850;ARDOOIE;Neen;ARDOOIE;West-Vlaanderen
2370;ARENDONK;Neen;ARENDONK;Antwerpen
4601;Argenteau;Ja;VISÉ;Luik
6700;ARLON;Neen;ARLON;Luxemburg
7181;Arquennes;Ja;SENEFFE;Henegouwen
5060;Arsimont;Ja;SAMBREVILLE;Namen
6870;Arville;Ja;SAINT-HUBERT;Luxemburg
3665;AS;Neen;AS;Limburg
9404;Aspelare;Ja;NINOVE;Oost-Vlaanderen 
9890;Asper;Ja;GAVERE;Oost-Vlaanderen 
7040;Asquillies;Ja;QUÉVY;Henegouwen
1730;ASSE;Neen;ASSE;Vlaams-Brabant
8310;Assebroek;Ja;BRUGGE;West-Vlaanderen
1007;Assemblée de la Commission Communautaire Française;;Assemblée de la Commission Communautaire Française;
9960;ASSENEDE;Neen;ASSENEDE;Oost-Vlaanderen 
6860;Assenois;Ja;LÉGLISE;Luxemburg
3460;Assent;Ja;BEKKEVOORT;Vlaams-Brabant
5330;ASSESSE;Neen;ASSESSE;Namen
9800;Astene;Ja;DEINZE;Oost-Vlaanderen 
7800;ATH;Neen;ATH;Henegouwen
7387;Athis;Ja;HONNELLES;Henegouwen
6791;Athus;Ja;AUBANGE;Luxemburg
3404;Attenhoven;Ja;LANDEN;Vlaams-Brabant
3384;Attenrode;Ja;GLABBEEK;Vlaams-Brabant
6717;ATTERT;Neen;ATTERT;Luxemburg
7941;Attre;Ja;BRUGELETTE;Henegouwen
6790;AUBANGE;Neen;AUBANGE;Luxemburg
7972;Aubechies;Ja;BELOEIL;Henegouwen
4880;AUBEL;Neen;AUBEL;Luik
5660;Aublain;Ja;COUVIN;Namen
6880;Auby-Sur-Semois;Ja;BERTRIX;Luxemburg
7382;Audregnies;Ja;QUIÉVRAIN;Henegouwen
7040;Aulnois;Ja;QUÉVY;Henegouwen
6706;Autelbas;Ja;ARLON;Luxemburg
